source,subject,price_raw,price_clean,battery_status
otodien_B2C,"🚗 VF7 PLUS MỚI – SUV ĐIỆN CAO CẤP, ƯU ĐÃI CỰC SỐC",780 triệu,780000000,Cần phân tích
otodien_B2C,"VINFAST VF 6 NEW 100% – SUV ĐIỆN HIỆN ĐẠI, SẴN XE GIAO NGAY 2026",600 triệu,600000000,Cần phân tích
otodien_B2C,VF9 plus Vin2026 màu trắng mới 🔥🔥,1 tỷ 365 triệu,1365000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Plus - 32000 km,598 triệu,598000000,Cần phân tích
otodien_B2C,VinFast VF 3 Plus Mới 100% – Xe Điện Mini Đô Thị,296 triệu,296000000,Cần phân tích
otodien_B2C,VinFast VF8 2024 Plus - 20000 km,690 triệu,690000000,Cần phân tích
otodien_B2C,MPV 7 – XE GIA ĐÌNH 7 CHỖ ĐANG CÓ ƯU ĐÃI CỰC TỐT - GIẢM GIÁ LÊN ĐẾN HÀNG TRĂM TRIỆU ĐỒNG!!!,750 triệu,750000000,Cần phân tích
otodien_B2C,VinFast VF8 2024 Eco - 30000 km,655 triệu,655000000,Cần phân tích
otodien_B2C,🚗 VF7 ECO 2026 MỚI – ƯU ĐÃI “KHỦNG” CHƯA TỪNG CÓ!,703 triệu,703000000,Cần phân tích
otodien_B2C,VinFast VF8 2022 Plus - 68000 km,570 triệu,570000000,Cần phân tích
otodien_B2C,🌿 VF6 Eco  – Mới 100% | Ưu đãi đến 13% ⚡,608 triệu,608000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 9000 km,253 triệu,253000000,Cần phân tích
otodien_B2C,VinFast VF3 2024 - 900 km,247 triệu,247000000,Cần phân tích
otodien_B2C,VinFast VF8 2025 Plus - 7000 km,850 triệu,850000000,Cần phân tích
otodien_B2C,VinFast VF9 2025 Plus - 1400 km,1 tỷ 199 triệu,1199000000,Cần phân tích
otodien_B2C,VINFAST VF6 – ƯU ĐÃI KHỦNG LÊN ĐẾN 11%,549 triệu,549000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 10000 km,280 triệu,280000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Eco - 46000 km,555 triệu,555000000,Cần phân tích
otodien_B2C,VinFast VF9 2025 Plus - 10000 km,1 tỷ 250 triệu,1250000000,Cần phân tích
otodien_B2C,🔥 MUA VF 3 CHỈ TỪ 262 TRIỆU ĐỒNG 🔥,253 triệu,253000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 10000 km,280 triệu,280000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Plus - 14000 km,770 triệu,770000000,Cần phân tích
otodien_B2C,VinFast VF5 2025 Plus - 60000 km,385 triệu,385000000,Cần phân tích
otodien_B2C,🌸 VF3 Plus  – Màu Hồng Cá Tính | Ưu đãi đến 13% ⚡,278 triệu,278000000,Cần phân tích
otodien_B2C,VinFast VF9 2024 Plus - 48000 km,904 triệu,904000000,Cần phân tích
otodien_B2C,VinFast VF9 2025 Eco - 85000 km,995 triệu,995000000,Cần phân tích
otodien_B2C,VF8 eco Vin2026 màu đỏ,795 triệu,795000000,Cần phân tích
otodien_B2C,VinFast VF7 2024 Eco - 17000 km,629 triệu,629000000,Cần phân tích
otodien_B2C,VinFast VF6 2024 Plus - 40000 km,575 triệu,575000000,Cần phân tích
otodien_B2C,VinFast VF MPV 7 2026 - 4466 km,675 triệu,675000000,Cần phân tích
otodien_B2C,VinFast Limo Green 2025 - 40000 km,635 triệu,635000000,Cần phân tích
otodien_B2C,VinFast VF7 2024 Plus - 200 km,815 triệu,815000000,Cần phân tích
otodien_B2C,VinFast VF9 2024 Plus - 48000 km,1 tỷ 140 triệu,1140000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Eco - 10000 km,660 triệu,660000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Plus - 80000 km,565 triệu,565000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 16000 km,240 triệu,240000000,Cần phân tích
otodien_B2C,VinFast VF3 2026 - 4000 km,281 triệu,281000000,Cần phân tích
otodien_B2C,VinFast Limo Green 2025 - 18000 km,639 triệu,639000000,Cần phân tích
otodien_B2C,VinFast VF9 2024 Plus - 24000 km,1 tỷ 140 triệu,1140000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 19000 km,247 triệu,247000000,Cần phân tích
otodien_B2C,VinFast VF6 2024 Plus - 24000 km,599 triệu,599000000,Cần phân tích
otodien_B2C,VF9 Plus Vin 2026 xám nt nâu da bò mới 🔥🔥,1 tỷ 365 triệu,1365000000,Cần phân tích
otodien_B2C,VinFast Limo Green 2025 - 7000 km,640 triệu,640000000,Cần phân tích
otodien_B2C,VinFast VF6 2024 Plus - 20000 km,599 triệu,599000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Plus - 10000 km,765 triệu,765000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Eco - 10000 km,665 triệu,665000000,Cần phân tích
otodien_B2C,Vf8 plus vin 2025 - Mới - Hàng hiếm,910 triệu,910000000,Cần phân tích
