list_id,cohort,crawl_date,is_trackable,model_source,family,condition,year,odo_km,region,seller_key,price_vnd,scope_eligible,price_eligible,review_reasons,battery_topic,financing_mention,promo_mention,subject
134619156,legacy_unknown_crawl_date,,False,Limo Green,Limo Green,New,2026,,Ho Chi Minh City,23643907,652000000,True,True,,Not mentioned,True,True,"Limo Green Đen 2026 – Giá Hấp Dẫn, Giao Xe Nhanh"
133814604,legacy_unknown_crawl_date,,False,VF5 Plus,VF5,New,2026,,Ho Chi Minh City,32203588,420000000,True,True,,Not mentioned,True,True,VinFast VF5 Plus 2026  - Đầy đủ màu [Giá sock] CAQ
133521371,legacy_unknown_crawl_date,,False,Minio Green,Minio Green,New,2026,,Ho Chi Minh City,24068396,188000000,True,True,,Not mentioned,True,True,🚗 VINFAST MINIO GREEN | TRẢ TRƯỚC 18 TRIỆU NHẬN XE
134575209,legacy_unknown_crawl_date,,False,VF5,VF5,New,2026,,Ho Chi Minh City,17458420,77000000,True,False,low_price_review,Not mentioned,True,False,VF5 NHẬN XE CHỈ TỪ 65tr - HỖ TRỢ NỢ XẤU
133525599,legacy_unknown_crawl_date,,False,VF2,VF2,New,2026,,Hanoi,3287572,180000000,True,True,,Not mentioned,True,True,🚘VinFast VF2-NHÂN 3 hạng Vinclub-Trả trước 0 đồng🔥
134084500,legacy_unknown_crawl_date,,False,VF2,VF2,New,2026,,Ho Chi Minh City,32203588,180000000,True,True,,Not mentioned,True,True,VinFast VF2 - Cọc tiên phong / Giảm ngay 8 triệu
134597265,legacy_unknown_crawl_date,,False,VF5 Plus,VF5,Used,2024,100000.0,An Giang,207834,335000000,True,True,,Purchase mentioned,False,False,VinFast VF5 Plus 2024 Xám Điện
134143991,legacy_unknown_crawl_date,,False,VF3,VF3,New,2026,,Ho Chi Minh City,32203588,278000000,True,True,,Not mentioned,True,True,VinFast VF3 Plus & Eco / 2026 - Đủ màu - New
134615969,legacy_unknown_crawl_date,,False,VF8,VF8,Used,2025,31000.0,Hanoi,2950980,833000000,True,True,,Not mentioned,False,False,VinFast VF8 Plus 2025 Trắng 31000 km
133375442,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2025,,Ho Chi Minh City,25755790,188000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,True,True,VF2 2026-CỌC TIÊN PHONG-ƯU ĐÃI NGAY 8 TRIỆU
134616364,legacy_unknown_crawl_date,,False,VF8,VF8,New,2026,,Ho Chi Minh City,10245595,158000000,True,False,upfront_price_match,Not mentioned,True,False,VinFast VF8 Đen Giao Sớm - Trả trước 158tr
134632179,legacy_unknown_crawl_date,,False,VF5 Plus,VF5,Used,2024,51000.0,Ho Chi Minh City,30417623,398000000,True,True,,Purchase mentioned,False,False,VinFast VF5 Plus 2024 Đỏ 51.000 KM
133632978,legacy_unknown_crawl_date,,False,VF5 Plus,VF5,New,2026,,Ho Chi Minh City,19097879,420000000,True,True,,Not mentioned,False,True,"VinFast VF5 Plus, GIẢM SÂU 16% THÁNG 9 🔥"
134542055,legacy_unknown_crawl_date,,False,VF3,VF3,Used,2025,32000.0,Ho Chi Minh City,25294985,225000000,True,True,,Purchase mentioned,False,False,VinFast VF3 Điện Đỏ 32.000 km
131656302,legacy_unknown_crawl_date,,False,VF6,VF6,New,2026,,Ho Chi Minh City,29655508,600000000,True,True,,Not mentioned,True,True,VINFAST VF6 ECO 600 TRIỆU ‼️CHƯƠNG TRÌNH THƯỜNG
134623132,legacy_unknown_crawl_date,,False,VF6,VF6,New,2026,,Ho Chi Minh City,32203588,632000000,True,True,,Not mentioned,True,True,VinFast VF6 Plus Trắng - Giá áp hết KM / CAQĐ 🆘HOT
133632994,legacy_unknown_crawl_date,,False,Limo Green,Limo Green,New,2026,,Ho Chi Minh City,19097879,629000000,True,True,,Not mentioned,False,True,"LIMO GREEN, GIẢM 35TR THÁNG 9🚨"
134610554,legacy_unknown_crawl_date,,False,VF6,VF6,New,2026,,Ho Chi Minh City,31981264,660000000,True,True,,Not mentioned,True,True,VinFast VF6 Plus SUV điện Trắng
131018987,legacy_unknown_crawl_date,,False,VF3,VF3,New,2026,,Ho Chi Minh City,29655508,294000000,True,True,,Not mentioned,True,True,VINFAST VF3 PLUS 294 TRIỆU ‼️‼️‼️
134485239,legacy_unknown_crawl_date,,False,VF6,VF6,Used,2025,38000.0,Hanoi,25280249,605000000,True,True,,Not mentioned,False,False,VinFast VF6 Plus TC1 2025 Trắng 30000 km
134631673,legacy_unknown_crawl_date,,False,VF3,VF3,Used,2024,30000.0,Ho Chi Minh City,1209918,195000000,True,True,,Rental mentioned,False,False,VinFast VF3 2024 Vàng 30.000km
133030573,legacy_unknown_crawl_date,,False,VF6,VF6,New,2026,,Ho Chi Minh City,21648513,604000000,True,True,,Not mentioned,False,True,VINFAST VF 6 TỔNG ƯU ĐÃI LÊN ĐẾN 45 TRIỆU ĐỒNG
133693358,legacy_unknown_crawl_date,,False,VF6,VF6,New,2026,,Ho Chi Minh City,19097879,568000000,True,True,,Not mentioned,False,True,VinFast VF6 Eco - Ưu đãi giảm 40tr tháng 9 🚨
