list_id,cohort,crawl_date,is_trackable,model_source,family,condition,year,odo_km,region,seller_key,price_vnd,scope_eligible,price_eligible,review_reasons,battery_topic,financing_mention,promo_mention,subject
134414996,legacy_unknown_crawl_date,,False,VF5 Plus,VF5,New,2026,,Ho Chi Minh City,31814467,30000000,True,False,low_price_review,Not mentioned,True,True,VinFast VF5 Plus đỏ Ô tô điện
134419700,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,Used,2024,20000.0,Ho Chi Minh City,25755790,739000000,False,False,unknown_ev_model,Purchase mentioned,True,True,VinFast VF8S 2024-LƯỚT 2vKm-Pin CATL-Có Hỗ Trợ Góp
133274616,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Ho Chi Minh City,25502241,15000000,False,False,unknown_ev_model; title_model_conflict; low_price_review,Not mentioned,False,True,VinFast VF3 PLUS  ĐỦ MÀU GIAO NGAY TỪ 50 TRIỆU
134406437,legacy_unknown_crawl_date,,False,VF5 Plus,VF5,Used,2026,3.0,Ho Chi Minh City,31814467,50000000,True,False,low_price_review,Not mentioned,True,True,VinFast VF5 Plus đỏ Ô tô điện
131776408,legacy_unknown_crawl_date,,False,Minio Green,Minio Green,New,2026,,Ho Chi Minh City,4471869,13450000,True,False,low_price_review,Not mentioned,True,False,VinFast Minio bao nợ xấu - 13.5tr nhận xe ngay
126597592,legacy_unknown_crawl_date,,False,Limo Green,Limo Green,New,2025,,Ho Chi Minh City,4471869,75000000,True,False,low_price_review; upfront_price_match,Not mentioned,True,True,"Limo Green NHẬN XE TỪ 75tr, LS 5,6% BAO NỢ XẤU"
134378537,legacy_unknown_crawl_date,,False,VF5 Plus,VF5,New,2026,,Hanoi,27898944,65000000,True,False,low_price_review,Not mentioned,True,True,VinFast VF 5 Trắng Tự động
134384619,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Can Tho City,32314278,180000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,True,VF2 GIẢM 8 CỦ - TẶNG PHỤ KIỆN
132818898,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,Used,2026,12000.0,Ho Chi Minh City,5246522,630000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,False,VinFast VF6 PLUS 2026 Đen Như Xe Mới
134361161,legacy_unknown_crawl_date,,False,VF5,VF5,New,2026,,Ho Chi Minh City,384093,35000000,True,False,low_price_review,Not mentioned,True,True,"VF5 Đỏ, Trắng, Xám. Tài xế Xanh SM 35 TR nhận xe"
134348290,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,Used,2026,0.0,Hanoi,19614977,689000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,True,VinFast MPV7 7 Full màu Giao xe tại Đông Anh
134329059,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2025,,Ho Chi Minh City,28004425,180000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,True,True,Xe điện VinFast VF2 - CHỈ TỪ 3triệu/ Tháng
134324302,legacy_unknown_crawl_date,,False,Limo Green,Limo Green,New,2026,,Ho Chi Minh City,5453674,65000000,True,False,low_price_review,Not mentioned,False,False,"Limo Green 2026 Đủ Màu, chuẩn bị 65tr lấy xe"
133954297,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Ho Chi Minh City,31822163,600000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,True,True,VinFast MPV7 SẴN XE RẤT NHIỀU ! GIÁ TỐT
131886747,legacy_unknown_crawl_date,,False,VF8,VF8,New,2026,,Dong Nai,27751358,1348000000,False,False,title_model_conflict,Not mentioned,True,False,VF9 TRẢ TRƯỚC 0Đ CHO CÁ NHÂN & DOANH NGHIỆP
134309761,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Hanoi,2688886,600000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,True,"VinFast MPV 7 2026 Giảm giá cực sốc, xe giao ngay"
134308046,legacy_unknown_crawl_date,,False,Fadil,Fadil,Used,2021,0.0,Hai Phong City,26716086,295000000,False,False,is_ice_label,Not mentioned,False,False,Vinfast Fadil 2021
134314996,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,Used,2025,8000.0,Ho Chi Minh City,32216223,690000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,False,VinFast VF MPV 7 2026 Trắng 7 chỗ 8000 Km
134314418,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2025,,Ho Chi Minh City,32454047,715000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,False,VinFast VF MPV 7 2026 Trắng 7 chỗ
134291107,legacy_unknown_crawl_date,,False,VF5,VF5,New,2026,,Ho Chi Minh City,26210229,34440000,True,False,low_price_review,Not mentioned,True,True,SỞ HỮU XE Vinfast VF5 CỰC ĐƠN GIẢN - BAO NỢ XẤU
134309702,legacy_unknown_crawl_date,,False,President,President,Used,2021,10000.0,Hanoi,26038806,1050000000,False,False,is_ice_label,Not mentioned,False,False,Xe VinFast President 6.2 V8 2021 - 1 Tỷ 50 Triệu
134305255,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Ho Chi Minh City,720041,635000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,True,True,"MPV7, vay 100%, áp Voucher Lux SA 80t, còn 635t"
134212100,legacy_unknown_crawl_date,,False,VF3,VF3,Used,2015,22000.0,Hanoi,4766470,250000000,False,False,year_review,Purchase mentioned,False,False,VinFast VF3 2025 Xám 22000 km
133698585,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Ho Chi Minh City,9431250,730000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,False,VinFast MPV 7 -XE SẴN KHO GIAO NGAY - BAO HS KHÓ
